Database,ammonia,,,,,,,,,,,
,,,,,,,,,,,,
Activity,"CO2 - MEA capture, w/o energy consumption, flue gas emissions",,,,,,,,,,,
comment,"Carlo d'Angelo et al., 2021",,,,,,,,,,,
location,GLO,,,,,,,,,,,
reference product,"CO2 - MEA capture, w/o energy consumption, flue gas emissions",,,,,,,,,,,
type,process,,,,,,,,,,,
unit,kilogram,,,,,,,,,,,
Exchanges,,,,,,,,,,,,
name,amount,database,location,unit,categories,type,reference product,,,,,
Ammonia,0.21,biosphere3,,kilogram,air,biosphere,,,,,,
Monoethanolamine,0.0305,biosphere3,,kilogram,air,biosphere,,,,,,
"CO2 - MEA capture, w/o energy consumption, flue gas emissions",1000,new_activities,GLO,kilogram,,production,"CO2 - MEA capture, w/o energy consumption, flue gas emissions",,,,,
"market for activated carbon, granular",0.075,cutoff38,GLO,kilogram,,technosphere,"activated carbon, granular",,,,,
market for monoethanolamine,1.5,cutoff38,GLO,kilogram,,technosphere,monoethanolamine,,,,,
"market for sodium hydroxide, without water, in 50% solution state",0.13,cutoff38,GLO,kilogram,,technosphere,"sodium hydroxide, without water, in 50% solution state",,,,,
market for tap water,3.5,cutoff38,RoW,kilogram,,technosphere,tap water,,,,,
"treatment of spent solvent mixture, hazardous waste incineration",-2.45,cutoff38,Europe without Switzerland,kilogram,,technosphere,spent solvent mixture,,,,,
,,,,,,,,,,,,
Activity,"CO2 capture/at H2 production plant, pre, pipeline 200km, storage 1000m (excluding electricity)",,,,,,,,,,,
comment,"copied from premise with electricity removed, since the increased electricity is handled in the coal gasification w/ CCS inventory",,,,,,,,,,,
location,RER,,,,,,,,,,,
production amount,1,,,,,,,,,,,
reference product,"CO2 capture/at H2 production plant, pre, pipeline 200km, storage 1000m",,,,,,,,,,,
source,"Life cycle assessment of carbon capture and storage in power generation and industry in Europe, Volkart et al., 2013, International Journal of Greenhouse Gas Control",,,,,,,,,,,
type,process,,,,,,,,,,,
unit,kilogram,,,,,,,,,,,
worksheet name,Carma CCS,,,,,,,,,,,
Exchanges,,,,,,,,,,,,
name,amount,database,location,unit,categories,type,uncertainty type,allocation,comment,product,reference product,simapro name
"Water, cooling, unspecified natural origin",0.0832,biosphere3,,cubic meter,natural resource::in water,biosphere,0,,RECCS 2007,,,
"CO2 capture/at H2 production plant, pre, pipeline 200km, storage 1000m (excluding electricity)",1,new_activities,RER,kilogram,CCS Europe 2025::Wood::Geological storage::BIGCC,production,,100,,,"CO2 capture/at H2 production plant, pre, pipeline 200km, storage 1000m","CO2 capture/at H2 production plant, pre, pipeline 200km, storage 1000m/RER U"
"CO2 storage/at H2 production plant, pre, pipeline 200km, storage 1000m",1,premise1,RER,kilogram,Materials/fuels,technosphere,0,,,,"CO2 storage/at H2 production plant, pre, pipeline 200km, storage 1000m","CO2 storage/at H2 production plant, pre, pipeline 200km, storage 1000m/RER U"
Selexol (Dimethylether of polyethylene glycol)/RER,0.000007,premise1,RER,kilogram,Materials/fuels,technosphere,0,,Singh et al. (2011),,Selexol (Dimethylether of polyethylene glycol)/RER,
"heat pump production, heat and power co-generation unit, 160kW electrical",9.86E-09,premise1,RER,unit,Materials/fuels,technosphere,0,,n_HX = n_total*lifetime_ratio/(lifetime_plant*annual m_flow),"heat pump, heat and power co-generation unit, 160kW electrical","heat pump, heat and power co-generation unit, 160kW electrical",Heat exchanger of cogen unit 160kWe/RER/I U
"market for absorption chiller, 100kW",1.97E-08,premise1,GLO,unit,Materials/fuels,technosphere,0,,n_absorption chiller = n_total*lifetime_ratio/(lifetime_plant*annual m_flow),"absorption chiller, 100kW","absorption chiller, 100kW",Absorption chiller 100kW/CH/I U
"market for gas turbine, 10MW electrical",9.86E-09,premise1,GLO,unit,Materials/fuels,technosphere,0,,n_GT = n_total*lifetime_ratio/(lifetime_plant*annual m_flow),"gas turbine, 10MW electrical","gas turbine, 10MW electrical","Gas turbine, 10MWe, at production plant/RER/I U"
